咪咕央卫视IPV4,#genre#
CCTV-1,http://182.92.109.190:1668/migu720/migu720.php?id=cctv1
CCTV-2,http://182.92.109.190:1668/migu720/migu720.php?id=cctv2
CCTV-3,http://182.92.109.190:1668/migu720/migu720.php?id=cctv3
CCTV-4,http://182.92.109.190:1668/migu720/migu720.php?id=cctv4
CCTV-5,http://182.92.109.190:1668/migu720/migu720.php?id=cctv5
CCTV-5+,http://182.92.109.190:1668/migu720/migu720.php?id=cctv5p
CCTV-6,http://182.92.109.190:1668/migu720/migu720.php?id=cctv6
CCTV-6电影,http://mobilelive-timeshift.ysp.cctv.cn/ysp/2013693901/timeshift.m3u8?delay=0
CCTV-7,http://182.92.109.190:1668/migu720/migu720.php?id=cctv7
CCTV-8,http://182.92.109.190:1668/migu720/migu720.php?id=cctv8
CCTV-9,http://182.92.109.190:1668/migu720/migu720.php?id=cctv9
CCTV-10,http://182.92.109.190:1668/migu720/migu720.php?id=cctv10
CCTV-11,http://182.92.109.190:1668/migu720/migu720.php?id=cctv11
CCTV-12,http://182.92.109.190:1668/migu720/migu720.php?id=cctv12
CCTV-13,http://182.92.109.190:1668/migu720/migu720.php?id=cctv13
CCTV-14,http://182.92.109.190:1668/migu720/migu720.php?id=cctv14
CCTV-15,http://182.92.109.190:1668/migu720/migu720.php?id=cctv15
CCTV-17,http://182.92.109.190:1668/migu720/migu720.php?id=cctv17
中央新影-发现之旅,http://182.92.109.190:1668/migu720/migu720.php?id=fxzl
中央新影-老故事,http://182.92.109.190:1668/migu720/migu720.php?id=lgs
中央新影-中学生,http://182.92.109.190:1668/migu720/migu720.php?id=zxs
CGTN纪录,http://182.92.109.190:1668/migu720/migu720.php?id=cgtnjl
CGTN西语,http://182.92.109.190:1668/migu720/migu720.php?id=cgtne
CGTN阿语,http://182.92.109.190:1668/migu720/migu720.php?id=cgtna
CGTN法语,http://182.92.109.190:1668/migu720/migu720.php?id=cgtnf
CGTN俄语,http://182.92.109.190:1668/migu720/migu720.php?id=cgtnr
东方卫视,http://182.92.109.190:1668/migu720/migu720.php?id=dfws
吉林卫视,http://182.92.109.190:1668/migu720/migu720.php?id=jlws
青海卫视,http://182.92.109.190:1668/migu720/migu720.php?id=qhws
陕西卫视,http://182.92.109.190:1668/migu720/migu720.php?id=sxws
湖北卫视,http://182.92.109.190:1668/migu720/migu720.php?id=hubws
江西卫视,http://182.92.109.190:1668/migu720/migu720.php?id=jxws
江苏卫视,http://182.92.109.190:1668/migu720/migu720.php?id=jsws
广东卫视,http://182.92.109.190:1668/migu720/migu720.php?id=gdws
大湾区卫视,http://182.92.109.190:1668/migu720/migu720.php?id=dwqws
海南卫视,http://182.92.109.190:1668/migu720/migu720.php?id=hinws
四海钓鱼,http://182.92.109.190:1668/migu720/migu720.php?id=shdy
江苏教育,http://182.92.109.190:1668/migu720/migu720.php?id=jsjy
山东教育,http://182.92.109.190:1668/migu720/migu720.php?id=sdjy
游戏风云,http://182.92.109.190:1668/migu720/migu720.php?id=yxfy
欢笑剧场,http://182.92.109.190:1668/migu720/migu720.php?id=hxjc
之江纪录,http://182.92.109.190:1668/migu720/migu720.php?id=zjjl
杭州综合,http://182.92.109.190:1668/migu720/migu720.php?id=hzzh
杭州明珠,http://182.92.109.190:1668/migu720/migu720.php?id=hzmz
杭州生活,http://182.92.109.190:1668/migu720/migu720.php?id=hzsh
杭州影视,http://182.92.109.190:1668/migu720/migu720.php?id=hzys
杭州少儿体育,http://182.92.109.190:1668/migu720/migu720.php?id=hzse
嵊泗新闻综合,http://182.92.109.190:1668/migu720/migu720.php?id=ssxwzh
普陀新闻综合,http://182.92.109.190:1668/migu720/migu720.php?id=ptxwzh
高清大片,http://182.92.109.190:1668/migu720/migu720.php?id=gqdp
经典此字符被系统屏蔽电影,http://182.92.109.190:1668/migu720/migu720.php?id=jdxgdy
军事迷必看大片,http://182.92.109.190:1668/migu720/migu720.php?id=jsdp
热剧联播,http://182.92.109.190:1668/migu720/migu720.php?id=rjlb
赛事最经典,http://182.92.109.190:1668/migu720/migu720.php?id=sszjd
体坛名栏汇,http://182.92.109.190:1668/migu720/migu720.php?id=ttmlh
新片放映厅,http://182.92.109.190:1668/migu720/migu720.php?id=xpfyt
Y+剧场,http://182.92.109.190:1668/migu720/migu720.php?id=yjjc

CCTV-1,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv1
CCTV-2,http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=cctv2
