公告,#genre#
定期更新,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
捡能看的看,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
换线路,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk

广西玉林联通,#genre#
CCTV1高清,http://171.38.84.7:9901/tsfile/live/1016_1.m3u8
CCTV2高清,http://171.38.84.7:9901/tsfile/live/1017_1.m3u8
CCTV3高清,http://171.38.84.7:9901/tsfile/live/1018_1.m3u8
CCTV4高清,http://171.38.84.7:9901/tsfile/live/1019_1.m3u8
CCTV5高清,http://171.38.84.7:9901/tsfile/live/1020_1.m3u8
CCTV5+高清,http://171.38.84.7:9901/tsfile/live/1033_1.m3u8
CCTV6高清,http://171.38.84.7:9901/tsfile/live/1021_1.m3u8
CCTV7高清,http://171.38.84.7:9901/tsfile/live/1022_1.m3u8
CCTV8高清,http://171.38.84.7:9901/tsfile/live/1023_1.m3u8
CCTV9高清,http://171.38.84.7:9901/tsfile/live/1024_1.m3u8
CCTV10高清,http://171.38.84.7:9901/tsfile/live/1025_1.m3u8
CCTV11高清,http://171.38.84.7:9901/tsfile/live/1026_1.m3u8
CCTV12高清,http://171.38.84.7:9901/tsfile/live/1027_1.m3u8
CCTV13高清,http://171.38.84.7:9901/tsfile/live/1028_1.m3u8
CCTV14高清,http://171.38.84.7:9901/tsfile/live/1029_1.m3u8
CCTV15高清,http://171.38.84.7:9901/tsfile/live/1030_1.m3u8
CCTV16高清,http://171.38.84.7:9901/tsfile/live/1031_1.m3u8
CCTV17高清,http://171.38.84.7:9901/tsfile/live/1032_1.m3u8
广西卫视高清,http://171.38.84.7:9901/tsfile/live/1034_1.m3u8
广西都市高清,http://171.38.84.7:9901/tsfile/live/1035_1.m3u8
广西新闻高清,http://171.38.84.7:9901/tsfile/live/1036_1.m3u8
爱电影,http://171.38.84.7:9901/tsfile/live/1086_1.m3u8
都市剧场,http://171.38.84.7:9901/tsfile/live/1088_1.m3u8
爱大剧,http://171.38.84.7:9901/tsfile/live/1040_1.m3u8
广东卫视高清,http://171.38.84.7:9901/tsfile/live/1043_1.m3u8
深圳卫视高清,http://171.38.84.7:9901/tsfile/live/1044_1.m3u8
东方卫视高清,http://171.38.84.7:9901/tsfile/live/1047_1.m3u8
北京卫视高清,http://171.38.84.7:9901/tsfile/live/1049_1.m3u8
天津卫视高清,http://171.38.84.7:9901/tsfile/live/1050_1.m3u8
江苏卫视高清,http://171.38.84.7:9901/tsfile/live/1051_1.m3u8
山东卫视 高清,http://171.38.84.7:9901/tsfile/live/1038_1.m3u8
安徽卫视高清,http://171.38.84.7:9901/tsfile/live/1053_1.m3u8
东南卫视 高清,http://171.38.84.7:9901/tsfile/live/0137_1.m3u8
湖北卫视 高清,http://171.38.84.7:9901/tsfile/live/0132_1.m3u8
河北卫视高清,http://171.38.84.7:9901/tsfile/live/1084_1.m3u8
金鹰纪实高清,http://171.38.84.7:9901/tsfile/live/1085_1.m3u8
金鹰卡通高清,http://171.38.84.7:9901/tsfile/live/1046_1.m3u8
吉林卫视 高清,http://171.38.84.7:9901/tsfile/live/0116_2.m3u8
江西卫视 高清,http://171.38.84.7:9901/tsfile/live/0138_1.m3u8
甘肃卫视高清,http://171.38.84.7:9901/tsfile/live/1060_1.m3u8
辽宁卫视 高清,http://171.38.84.7:9901/tsfile/live/0121_1.m3u8
四川卫视 高清,http://171.38.84.7:9901/tsfile/live/0123_1.m3u8
贵州卫视 高清,http://171.38.84.7:9901/tsfile/live/0120_1.m3u8
湖南卫视高清,http://171.38.84.7:9901/tsfile/live/1065_1.m3u8
浙江卫视高清,http://171.38.84.7:9901/tsfile/live/1066_1.m3u8
教育一套 高清,http://171.38.84.7:9901/tsfile/live/1083_1.m3u8
黑龙江卫视高清,http://171.38.84.7:9901/tsfile/live/1048_1.m3u8
热播剧场,http://171.38.84.7:9901/tsfile/live/1067_1.m3u8
谍战剧场,http://171.38.84.7:9901/tsfile/live/1068_1.m3u8
高清测试1(ZX),http://171.38.84.7:9901/tsfile/live/1069_1.m3u8
高清测试2(ZW）,http://171.38.84.7:9901/tsfile/live/1070_1.m3u8
高清测试3(XG),http://171.38.84.7:9901/tsfile/live/1071_1.m3u8
星空卫视标清,http://171.38.84.7:9901/tsfile/live/1074_1.m3u8
CCTV娱乐标清,http://171.38.84.7:9901/tsfile/live/1209_1.m3u8
高清测试4(ZW标清),http://171.38.84.7:9901/tsfile/live/1072_1.m3u8
高清测试5(ZX标清),http://171.38.84.7:9901/tsfile/live/1073_1.m3u8
卡酷少儿标清,http://171.38.84.7:9901/tsfile/live/1111_1.m3u8
金鹰卡通标清,http://171.38.84.7:9901/tsfile/live/1112_1.m3u8
嘉佳卡通标清,http://171.38.84.7:9901/tsfile/live/1113_1.m3u8
哈哈动漫标清,http://171.38.84.7:9901/tsfile/live/1117_1.m3u8
优漫卡通标清,http://171.38.84.7:9901/tsfile/live/1118_1.m3u8
